mean,std,max,min
43.3359564038,0.0,43.3359564038,43.3359564038
40.8232758906,0.0,40.8232758906,40.8232758906
30.591822636,0.0,30.591822636,30.591822636
30.6803603252,0.0,30.6803603252,30.6803603252
39.0294601145,0.0,39.0294601145,39.0294601145
