Performance,Mean,STD,Variance,MAX,MIN
Accuracy,1.0,0.0,0.0,1.0,1.0
Recall,1.0,0.0,0.0,1.0,1.0
Precision,1.0,0.0,0.0,1.0,1.0
F1,1.0,0.0,0.0,1.0,1.0
