Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
AdaBoostClassifier,Algorithm:SAMME-n_estimators:10,LeaveOneOut,0.6,0.4,0.4,0.4
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:10,LeaveOneOut,0.5,0.35,0.35,0.4
Bagging,bootstrap:True-n_estimators:10,LeaveOneOut,0.45,0.25,0.2,0.3
Bagging,bootstrap:False-n_estimators:10,LeaveOneOut,0.45,0.3,0.3,0.3
BernoulliNB,Default,LeaveOneOut,0.6,0.45,0.45,0.45
DecisionTree,criterion:gini-splitter:best,LeaveOneOut,0.55,0.3,0.3,0.3
DecisionTree,criterion:gini-splitter:random,LeaveOneOut,0.55,0.35,0.4,0.35
DecisionTree,criterion:entropy-splitter:best,LeaveOneOut,0.35,0.25,0.25,0.2
DecisionTree,criterion:entropy-splitter:random,LeaveOneOut,0.55,0.3,0.35,0.35
GaussianNB,Default,LeaveOneOut,0.6,0.45,0.45,0.45
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:minkowski-weights:uniform,LeaveOneOut,0.55,0.25,0.25,0.25
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:euclidean-weights:uniform,LeaveOneOut,0.55,0.25,0.25,0.25
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.55,0.25,0.25,0.25
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.55,0.25,0.25,0.25
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.55,0.25,0.25,0.25
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.55,0.25,0.25,0.25
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:minkowski-weights:uniform,LeaveOneOut,0.55,0.25,0.25,0.25
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:euclidean-weights:uniform,LeaveOneOut,0.55,0.25,0.25,0.25
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.3,0.3,0.3
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:minkowski-weights:distance,LeaveOneOut,0.45,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.3,0.3,0.3
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:euclidean-weights:distance,LeaveOneOut,0.45,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.3,0.3,0.3
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:minkowski-weights:distance,LeaveOneOut,0.45,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.3,0.3,0.3
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:euclidean-weights:distance,LeaveOneOut,0.45,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.3,0.3,0.3
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:minkowski-weights:distance,LeaveOneOut,0.45,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.3,0.3,0.3
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:euclidean-weights:distance,LeaveOneOut,0.45,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.3,0.3,0.3
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:minkowski-weights:distance,LeaveOneOut,0.45,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.3,0.3,0.3
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:euclidean-weights:distance,LeaveOneOut,0.45,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:auto-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:auto-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:auto-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:auto-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:ball_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:ball_tree-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:ball_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:ball_tree-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:kd_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:kd_tree-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:kd_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:kd_tree-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:brute-metric:minkowski-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:brute-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:brute-metric:euclidean-weights:uniform,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:5-algorithm:brute-metric:euclidean-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:6-algorithm:auto-metric:minkowski-weights:uniform,LeaveOneOut,0.6,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:6-algorithm:auto-metric:minkowski-weights:distance,LeaveOneOut,0.5,0.35,0.35,0.35
KNeighborsClassifier,n_neighbors:6-algorithm:auto-metric:euclidean-weights:uniform,LeaveOneOut,0.6,0.35,0.35,0.35
