Performance,Mean,STD,Variance,MAX,MIN
Accuracy,0.45,0.05,0.0025,0.5,0.4
Recall,0.125,0.0433012701892,0.001875,0.2,0.1
Precision,0.125,0.108972473589,0.011875,0.3,0.0
F1,0.125,0.0433012701892,0.001875,0.2,0.1
