Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
AdaBoostClassifier,Algorithm:SAMME-n_estimators:10,CV-5,0.410317460317,0.316666666667,0.406666666667,0.271428571429
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:10,CV-5,0.375396825397,0.3,0.25,0.264285714286
Bagging,bootstrap:True-n_estimators:10,CV-5,0.485317460317,0.183333333333,0.613333333333,0.190476190476
Bagging,bootstrap:False-n_estimators:10,CV-5,0.403968253968,0.366666666667,0.33,0.344285714286
BernoulliNB,Default,CV-5,0.479761904762,0.366666666667,0.316666666667,0.326984126984
DecisionTree,criterion:gini-splitter:best,CV-5,0.403968253968,0.366666666667,0.34,0.351428571429
DecisionTree,criterion:gini-splitter:random,CV-5,0.447619047619,0.333333333333,0.24,0.230952380952
DecisionTree,criterion:entropy-splitter:best,CV-5,0.461111111111,0.366666666667,0.35,0.344285714286
DecisionTree,criterion:entropy-splitter:random,CV-5,0.425396825397,0.383333333333,0.392380952381,0.307142857143
GaussianNB,Default,CV-5,0.586111111111,0.25,0.466666666667,0.313333333333
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:uniform,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:uniform,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:uniform,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:uniform,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:uniform,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:uniform,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:uniform,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.456746031746,0.266666666667,0.206666666667,0.230952380952
