Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
AdaBoostClassifier,Algorithm:SAMME-n_estimators:10,CV-5,0.5,0.6,0.4,0.433333333333
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:10,CV-5,0.566666666667,0.6,0.4,0.466666666667
Bagging,bootstrap:True-n_estimators:10,CV-5,0.533333333333,0.6,0.333333333333,0.48
Bagging,bootstrap:False-n_estimators:10,CV-5,0.566666666667,0.4,0.4,0.466666666667
BernoulliNB,Default,CV-5,0.733333333333,0.8,0.6,0.666666666667
DecisionTree,criterion:gini-splitter:best,CV-5,0.466666666667,0.6,0.3,0.466666666667
DecisionTree,criterion:gini-splitter:random,CV-5,0.633333333333,0.5,0.5,0.333333333333
DecisionTree,criterion:entropy-splitter:best,CV-5,0.566666666667,0.6,0.3,0.466666666667
DecisionTree,criterion:entropy-splitter:random,CV-5,0.633333333333,0.5,0.5,0.533333333333
GaussianNB,Default,CV-5,0.716666666667,0.6,0.533333333333,0.56
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:euclidean-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:minkowski-weights:uniform,CV-5,0.583333333333,0.2,0.2,0.2
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:euclidean-weights:uniform,CV-5,0.583333333333,0.2,0.2,0.2
KNeighborsClassifier,n_neighbors:2-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:minkowski-weights:uniform,CV-5,0.583333333333,0.2,0.2,0.2
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:euclidean-weights:uniform,CV-5,0.583333333333,0.2,0.2,0.2
KNeighborsClassifier,n_neighbors:2-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:minkowski-weights:uniform,CV-5,0.583333333333,0.2,0.2,0.2
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:euclidean-weights:uniform,CV-5,0.583333333333,0.2,0.2,0.2
KNeighborsClassifier,n_neighbors:2-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:minkowski-weights:uniform,CV-5,0.583333333333,0.2,0.2,0.2
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:euclidean-weights:uniform,CV-5,0.583333333333,0.2,0.2,0.2
KNeighborsClassifier,n_neighbors:2-algorithm:brute-metric:euclidean-weights:distance,CV-5,0.733333333333,0.5,0.5,0.5
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.783333333333,0.6,0.533333333333,0.56
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.783333333333,0.6,0.533333333333,0.56
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.783333333333,0.6,0.533333333333,0.56
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.783333333333,0.6,0.533333333333,0.56
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.783333333333,0.6,0.533333333333,0.56
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.783333333333,0.6,0.533333333333,0.56
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.783333333333,0.6,0.533333333333,0.56
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:euclidean-weights:distance,CV-5,0.783333333333,0.6,0.533333333333,0.56
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:minkowski-weights:uniform,CV-5,0.533333333333,0.4,0.2,0.266666666667
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:euclidean-weights:uniform,CV-5,0.533333333333,0.4,0.2,0.266666666667
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:minkowski-weights:uniform,CV-5,0.533333333333,0.4,0.2,0.266666666667
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:euclidean-weights:uniform,CV-5,0.533333333333,0.4,0.2,0.266666666667
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:minkowski-weights:uniform,CV-5,0.533333333333,0.4,0.2,0.266666666667
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:euclidean-weights:uniform,CV-5,0.533333333333,0.4,0.2,0.266666666667
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:minkowski-weights:uniform,CV-5,0.533333333333,0.4,0.2,0.266666666667
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
