Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
BernoulliNB,Default,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:auto-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:ball_tree-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:kd_tree-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:minkowski-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:3-algorithm:brute-metric:euclidean-weights:uniform,CV-5,0.733333333333,0.8,0.6,0.666666666667
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:6-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.75,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:6-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.75,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:6-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.75,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:6-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.75,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:6-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.75,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:6-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.75,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:6-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.75,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:6-algorithm:brute-metric:euclidean-weights:distance,CV-5,0.75,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:7-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.683333333333,0.8,0.533333333333,0.626666666667
KNeighborsClassifier,n_neighbors:7-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.683333333333,0.8,0.533333333333,0.626666666667
KNeighborsClassifier,n_neighbors:7-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.683333333333,0.8,0.533333333333,0.626666666667
KNeighborsClassifier,n_neighbors:7-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.683333333333,0.8,0.533333333333,0.626666666667
KNeighborsClassifier,n_neighbors:7-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.683333333333,0.8,0.533333333333,0.626666666667
KNeighborsClassifier,n_neighbors:7-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.683333333333,0.8,0.533333333333,0.626666666667
KNeighborsClassifier,n_neighbors:7-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.683333333333,0.8,0.533333333333,0.626666666667
KNeighborsClassifier,n_neighbors:7-algorithm:brute-metric:euclidean-weights:distance,CV-5,0.683333333333,0.8,0.533333333333,0.626666666667
KNeighborsClassifier,n_neighbors:9-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.783333333333,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:9-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.783333333333,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:9-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.783333333333,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:9-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.783333333333,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:9-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.783333333333,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:9-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.783333333333,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:9-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.783333333333,0.8,0.633333333333,0.693333333333
KNeighborsClassifier,n_neighbors:9-algorithm:brute-metric:euclidean-weights:distance,CV-5,0.783333333333,0.8,0.633333333333,0.693333333333
