Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:auto-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:ball_tree-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:kd_tree-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:minkowski-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
KNeighborsClassifier,n_neighbors:4-algorithm:brute-metric:euclidean-weights:distance,CV-5,0.85,0.8,0.733333333333,0.76
