Performance,Mean,STD,Variance,MAX,MIN
Accuracy,0.107142857143,0.185576872239,0.0344387755101,0.428571428571,0.0
Recall,0.0357142857143,0.0618589574131,0.00382653061224,0.142857142857,0.0
Precision,0.0,0.0,0.0,0.0,0.0
F1,0.107142857143,0.11845088537,0.0140306122449,0.285714285714,0.0
