Algorithm,Params,R_Score,Pearson,Spearman,Kendalltau
AdaBoostRegressor,loss:linear-n_estimators:10,0.773627558215,0.924170762733,0.90831418344,0.76276897004
AdaBoostRegressor,loss:linear-n_estimators:50,0.902710322584,0.969437316702,0.940099989264,0.816104793534
AdaBoostRegressor,loss:linear-n_estimators:100,0.905219189533,0.976118833246,0.947588670291,0.837809611591
AdaBoostRegressor,loss:linear-n_estimators:200,0.91324471863,0.98099666693,0.955763318603,0.845340894445
AdaBoostRegressor,loss:linear-n_estimators:500,0.919775709448,0.980923396236,0.957131318398,0.85447546436
AdaBoostRegressor,loss:linear-n_estimators:1000,0.907500914585,0.975966527477,0.955779773123,0.852414935734
AdaBoostRegressor,loss:linear-n_estimators:1500,0.906374727502,0.974758406633,0.947177024589,0.829134132223
AdaBoostRegressor,loss:linear-n_estimators:2000,0.917961311005,0.979415503233,0.951823473079,0.840481040779
AdaBoostRegressor,loss:square-n_estimators:10,0.890059046841,0.951916066284,0.921970861314,0.791647636234
AdaBoostRegressor,loss:square-n_estimators:50,0.925135341354,0.971171474677,0.964236121533,0.860080991714
AdaBoostRegressor,loss:square-n_estimators:100,0.917017537383,0.970100440542,0.956418147473,0.84023413957
AdaBoostRegressor,loss:square-n_estimators:200,0.933311147851,0.973024107947,0.962723863508,0.849980667612
AdaBoostRegressor,loss:square-n_estimators:500,0.926312729837,0.970676981335,0.955337932911,0.84121665163
AdaBoostRegressor,loss:square-n_estimators:1000,0.923984031616,0.969933475607,0.962418546359,0.853589380075
AdaBoostRegressor,loss:square-n_estimators:1500,0.928097857043,0.972259841984,0.960571927309,0.854990596516
AdaBoostRegressor,loss:square-n_estimators:2000,0.927429100492,0.970897117327,0.960625380285,0.852702435148
AdaBoostRegressor,loss:exponential-n_estimators:10,0.819289596869,0.943748657063,0.930932663707,0.802967562632
AdaBoostRegressor,loss:exponential-n_estimators:50,0.902236559025,0.973996877465,0.949382638411,0.838573310447
AdaBoostRegressor,loss:exponential-n_estimators:100,0.920895019612,0.979111762733,0.95630622332,0.852554527151
AdaBoostRegressor,loss:exponential-n_estimators:200,0.90103722013,0.974962741823,0.946187566502,0.826180349701
AdaBoostRegressor,loss:exponential-n_estimators:500,0.915984292447,0.980510037571,0.956229144775,0.843657689076
AdaBoostRegressor,loss:exponential-n_estimators:1000,0.905609076947,0.977416156677,0.953361947763,0.844309833741
AdaBoostRegressor,loss:exponential-n_estimators:1500,0.914550570843,0.980200166237,0.956391105551,0.854104910427
