example,class,Prob
1,N, class: D-prob: 0.0 class: N-prob: 100.0
2,N, class: D-prob: 50.0 class: N-prob: 50.0
3,N, class: D-prob: 50.0 class: N-prob: 50.0
4,D, class: D-prob: 100.0 class: N-prob: 0.0
5,D, class: D-prob: 100.0 class: N-prob: 0.0
6,N, class: D-prob: 0.0 class: N-prob: 100.0
7,N, class: D-prob: 50.0 class: N-prob: 50.0
8,D, class: D-prob: 100.0 class: N-prob: 0.0
9,N, class: D-prob: 50.0 class: N-prob: 50.0
10,D, class: D-prob: 100.0 class: N-prob: 0.0
11,D, class: D-prob: 100.0 class: N-prob: 0.0
12,N, class: D-prob: 50.0 class: N-prob: 50.0
13,D, class: D-prob: 100.0 class: N-prob: 0.0
14,N, class: D-prob: 50.0 class: N-prob: 50.0
15,D, class: D-prob: 100.0 class: N-prob: 0.0
16,N, class: D-prob: 0.0 class: N-prob: 100.0
17,N, class: D-prob: 0.0 class: N-prob: 100.0
18,N, class: D-prob: 0.0 class: N-prob: 100.0
19,N, class: D-prob: 0.0 class: N-prob: 100.0
20,N, class: D-prob: 0.0 class: N-prob: 100.0
21,N, class: D-prob: 0.0 class: N-prob: 100.0
